"state","year","quarter","transaction_type","total_transaction","transaction_amount"
"andaman-&-nicobar-islands",2018,1,"Recharge & bill payments","4200","1845307"
"andaman-&-nicobar-islands",2018,1,"Peer-to-peer payments","1871","12138655"
"andaman-&-nicobar-islands",2018,1,"Merchant payments","298","452507"
"andaman-&-nicobar-islands",2018,1,"Financial Services","33","10601"
"andaman-&-nicobar-islands",2018,1,"Others","256","184690"
"andaman-&-nicobar-islands",2018,2,"Recharge & bill payments","6735","2320945"
"andaman-&-nicobar-islands",2018,2,"Peer-to-peer payments","3575","24511925"
"andaman-&-nicobar-islands",2018,2,"Merchant payments","603","1024491"
"andaman-&-nicobar-islands",2018,2,"Financial Services","59","121336"
"andaman-&-nicobar-islands",2018,2,"Others","368","359839"
"andaman-&-nicobar-islands",2018,3,"Recharge & bill payments","8636","4343505"
"andaman-&-nicobar-islands",2018,3,"Peer-to-peer payments","6448","49270782"
"andaman-&-nicobar-islands",2018,3,"Merchant payments","945","1627360"
"andaman-&-nicobar-islands",2018,3,"Financial Services","42","1481"
"andaman-&-nicobar-islands",2018,3,"Others","194","314343"
"andaman-&-nicobar-islands",2018,4,"Recharge & bill payments","11517","5450550"
"andaman-&-nicobar-islands",2018,4,"Peer-to-peer payments","10451","81001457"
"andaman-&-nicobar-islands",2018,4,"Merchant payments","1421","3552028"
"andaman-&-nicobar-islands",2018,4,"Financial Services","29","76036"
"andaman-&-nicobar-islands",2018,4,"Others","340","468266"
"andaman-&-nicobar-islands",2019,1,"Recharge & bill payments","15263","6611460"
"andaman-&-nicobar-islands",2019,1,"Peer-to-peer payments","13119","91808346"
"andaman-&-nicobar-islands",2019,1,"Merchant payments","1759","3266590"
"andaman-&-nicobar-islands",2019,1,"Financial Services","62","116250"
"andaman-&-nicobar-islands",2019,1,"Others","283","497095"
"andaman-&-nicobar-islands",2019,2,"Recharge & bill payments","14676","7242448"
"andaman-&-nicobar-islands",2019,2,"Peer-to-peer payments","14481","107525359"
"andaman-&-nicobar-islands",2019,2,"Merchant payments","4031","4702153"
"andaman-&-nicobar-islands",2019,2,"Financial Services","124","113279"
"andaman-&-nicobar-islands",2019,2,"Others","377","671471"
"andaman-&-nicobar-islands",2019,3,"Recharge & bill payments","16219","8171738"
"andaman-&-nicobar-islands",2019,3,"Peer-to-peer payments","13767","101079821"
"andaman-&-nicobar-islands",2019,3,"Merchant payments","3519","4428735"
"andaman-&-nicobar-islands",2019,3,"Financial Services","50","158858"
"andaman-&-nicobar-islands",2019,3,"Others","215","232625"
"andaman-&-nicobar-islands",2019,4,"Peer-to-peer payments","18128","121493224"
"andaman-&-nicobar-islands",2019,4,"Recharge & bill payments","13851","9538691"
"andaman-&-nicobar-islands",2019,4,"Merchant payments","2920","5247500"
"andaman-&-nicobar-islands",2019,4,"Financial Services","60","295937"
"andaman-&-nicobar-islands",2019,4,"Others","200","263178"
"andaman-&-nicobar-islands",2020,1,"Peer-to-peer payments","18324","142332402"
"andaman-&-nicobar-islands",2020,1,"Recharge & bill payments","18268","10850414"
"andaman-&-nicobar-islands",2020,1,"Merchant payments","4424","7752872"
"andaman-&-nicobar-islands",2020,1,"Financial Services","66","208232"
"andaman-&-nicobar-islands",2020,1,"Others","216","332393"
"andaman-&-nicobar-islands",2020,2,"Recharge & bill payments","38125","17659623"
"andaman-&-nicobar-islands",2020,2,"Peer-to-peer payments","20303","141728758"
"andaman-&-nicobar-islands",2020,2,"Merchant payments","4004","9236376"
"andaman-&-nicobar-islands",2020,2,"Financial Services","175","706932"
"andaman-&-nicobar-islands",2020,2,"Others","355","313313"
"andaman-&-nicobar-islands",2020,3,"Recharge & bill payments","59310","24756221"
"andaman-&-nicobar-islands",2020,3,"Peer-to-peer payments","40697","289078947"
"andaman-&-nicobar-islands",2020,3,"Merchant payments","16096","22682992"
"andaman-&-nicobar-islands",2020,3,"Financial Services","572","961837"
"andaman-&-nicobar-islands",2020,3,"Others","808","539450"
"andaman-&-nicobar-islands",2020,4,"Peer-to-peer payments","81439","533316526"
"andaman-&-nicobar-islands",2020,4,"Recharge & bill payments","80811","33710031"
"andaman-&-nicobar-islands",2020,4,"Merchant payments","59391","56867469"
"andaman-&-nicobar-islands",2020,4,"Financial Services","965","1880547"
"andaman-&-nicobar-islands",2020,4,"Others","1925","1508084"
"andaman-&-nicobar-islands",2021,1,"Peer-to-peer payments","105458","665391396"
"andaman-&-nicobar-islands",2021,1,"Recharge & bill payments","84119","37160923"
"andaman-&-nicobar-islands",2021,1,"Merchant payments","53090","78606979"
"andaman-&-nicobar-islands",2021,1,"Financial Services","884","1469351"
"andaman-&-nicobar-islands",2021,1,"Others","1201","1077919"
"andaman-&-nicobar-islands",2021,2,"Peer-to-peer payments","132772","748382045"
"andaman-&-nicobar-islands",2021,2,"Recharge & bill payments","120911","43691961"
"andaman-&-nicobar-islands",2021,2,"Merchant payments","85143","103707409"
"andaman-&-nicobar-islands",2021,2,"Financial Services","960","2038522"
"andaman-&-nicobar-islands",2021,2,"Others","1628","1327080"
"andaman-&-nicobar-islands",2021,3,"Peer-to-peer payments","192321","1077787837"
"andaman-&-nicobar-islands",2021,3,"Recharge & bill payments","136010","51243451"
"andaman-&-nicobar-islands",2021,3,"Merchant payments","118340","176991328"
"andaman-&-nicobar-islands",2021,3,"Financial Services","990","2351013"
"andaman-&-nicobar-islands",2021,3,"Others","2103","1650766"
"andaman-&-nicobar-islands",2021,4,"Peer-to-peer payments","285778","1544932663"
"andaman-&-nicobar-islands",2021,4,"Merchant payments","210164","322842315"
"andaman-&-nicobar-islands",2021,4,"Recharge & bill payments","135608","59243518"
"andaman-&-nicobar-islands",2021,4,"Financial Services","1718","3137965"
"andaman-&-nicobar-islands",2021,4,"Others","2855","2453640"
"andaman-&-nicobar-islands",2022,1,"Peer-to-peer payments","342649","1682328506"
"andaman-&-nicobar-islands",2022,1,"Merchant payments","284298","370091559"
"andaman-&-nicobar-islands",2022,1,"Recharge & bill payments","163401","71300134"
"andaman-&-nicobar-islands",2022,1,"Financial Services","1757","2869682"
"andaman-&-nicobar-islands",2022,1,"Others","2643","2440322"
"andaman-&-nicobar-islands",2022,2,"Merchant payments","449540","510838981"
"andaman-&-nicobar-islands",2022,2,"Peer-to-peer payments","437606","2088309073"
"andaman-&-nicobar-islands",2022,2,"Recharge & bill payments","179515","82232937"
"andaman-&-nicobar-islands",2022,2,"Financial Services","1448","2089862"
"andaman-&-nicobar-islands",2022,2,"Others","3108","2449497"
"andaman-&-nicobar-islands",2022,3,"Merchant payments","716105","693438186"
"andaman-&-nicobar-islands",2022,3,"Peer-to-peer payments","622217","2514535155"
"andaman-&-nicobar-islands",2022,3,"Recharge & bill payments","240766","97748066"
"andaman-&-nicobar-islands",2022,3,"Financial Services","1814","2166305"
"andaman-&-nicobar-islands",2022,3,"Others","3477","2744061"
"andaman-&-nicobar-islands",2022,4,"Merchant payments","956536","906365301"
"andaman-&-nicobar-islands",2022,4,"Peer-to-peer payments","768758","2961630585"
"andaman-&-nicobar-islands",2022,4,"Recharge & bill payments","256050","110037120"
"andaman-&-nicobar-islands",2022,4,"Financial Services","2499","3533987"
"andaman-&-nicobar-islands",2022,4,"Others","3692","3107412"
"andaman-&-nicobar-islands",2023,1,"Merchant payments","1122063","1008821751"
"andaman-&-nicobar-islands",2023,1,"Peer-to-peer payments","862347","3299762230"
"andaman-&-nicobar-islands",2023,1,"Recharge & bill payments","286024","146338470"
"andaman-&-nicobar-islands",2023,1,"Financial Services","2515","3556954"
"andaman-&-nicobar-islands",2023,1,"Others","3443","3049182"
"andaman-&-nicobar-islands",2023,2,"Merchant payments","1410653","1159905474"
"andaman-&-nicobar-islands",2023,2,"Peer-to-peer payments","970525","3664415887"
"andaman-&-nicobar-islands",2023,2,"Recharge & bill payments","320922","158455723"
