"state","year","quarter","district","topuser_count","amount"
"andaman-&-nicobar-islands",2018,1,"south andaman","5688","12560249"
"andaman-&-nicobar-islands",2018,1,"nicobars","528","1139849"
"andaman-&-nicobar-islands",2018,1,"north and middle andaman","442","931663"
"andaman-&-nicobar-islands",2018,2,"south andaman","9395","23948236"
"andaman-&-nicobar-islands",2018,2,"nicobars","1120","3072437"
"andaman-&-nicobar-islands",2018,2,"north and middle andaman","825","1317863"
"andaman-&-nicobar-islands",2018,3,"south andaman","13511","44268112"
"andaman-&-nicobar-islands",2018,3,"nicobars","1471","6387829"
"andaman-&-nicobar-islands",2018,3,"north and middle andaman","1283","4901530"
"andaman-&-nicobar-islands",2018,4,"south andaman","20136","75411841"
"andaman-&-nicobar-islands",2018,4,"north and middle andaman","2137","7955636"
"andaman-&-nicobar-islands",2018,4,"nicobars","1485","7180859"
"andaman-&-nicobar-islands",2019,1,"south andaman","25683","85501972"
"andaman-&-nicobar-islands",2019,1,"north and middle andaman","3264","9561709"
"andaman-&-nicobar-islands",2019,1,"nicobars","1539","7236060"
"andaman-&-nicobar-islands",2019,2,"south andaman","28490","102530956"
"andaman-&-nicobar-islands",2019,2,"north and middle andaman","3371","8612103"
"andaman-&-nicobar-islands",2019,2,"nicobars","1828","9111651"
"andaman-&-nicobar-islands",2019,3,"south andaman","27421","91023888"
"andaman-&-nicobar-islands",2019,3,"north and middle andaman","4049","11481466"
"andaman-&-nicobar-islands",2019,3,"nicobars","2300","11566421"
"andaman-&-nicobar-islands",2019,4,"south andaman","27843","110930312"
"andaman-&-nicobar-islands",2019,4,"north and middle andaman","4716","13524057"
"andaman-&-nicobar-islands",2019,4,"nicobars","2600","12384162"
"andaman-&-nicobar-islands",2020,1,"south andaman","32713","134679397"
"andaman-&-nicobar-islands",2020,1,"north and middle andaman","5674","14697372"
"andaman-&-nicobar-islands",2020,1,"nicobars","2911","12099544"
"andaman-&-nicobar-islands",2020,2,"south andaman","48088","132855779"
"andaman-&-nicobar-islands",2020,2,"north and middle andaman","10979","22447714"
"andaman-&-nicobar-islands",2020,2,"nicobars","3895","14341509"
"andaman-&-nicobar-islands",2020,3,"south andaman","95323","282366109"
"andaman-&-nicobar-islands",2020,3,"north and middle andaman","16747","33486883"
"andaman-&-nicobar-islands",2020,3,"nicobars","5413","22166454"
"andaman-&-nicobar-islands",2020,4,"south andaman","186494","523122463"
"andaman-&-nicobar-islands",2020,4,"north and middle andaman","29349","68941322"
"andaman-&-nicobar-islands",2020,4,"nicobars","8688","35218871"
"andaman-&-nicobar-islands",2021,1,"south andaman","207092","669604045"
"andaman-&-nicobar-islands",2021,1,"north and middle andaman","27358","75027255"
"andaman-&-nicobar-islands",2021,1,"nicobars","10302","39075267"
"andaman-&-nicobar-islands",2021,2,"south andaman","286907","760893021"
"andaman-&-nicobar-islands",2021,2,"north and middle andaman","39200","90233389"
"andaman-&-nicobar-islands",2021,2,"nicobars","15307","48020607"
"andaman-&-nicobar-islands",2021,3,"south andaman","382418","1116789011"
"andaman-&-nicobar-islands",2021,3,"north and middle andaman","46592","118254866"
"andaman-&-nicobar-islands",2021,3,"nicobars","20754","74980519"
"andaman-&-nicobar-islands",2021,4,"south andaman","558571","1694794708"
"andaman-&-nicobar-islands",2021,4,"north and middle andaman","53115","156486112"
"andaman-&-nicobar-islands",2021,4,"nicobars","24437","81329281"
"andaman-&-nicobar-islands",2022,1,"south andaman","705512","1872991196"
"andaman-&-nicobar-islands",2022,1,"north and middle andaman","60059","161624879"
"andaman-&-nicobar-islands",2022,1,"nicobars","29177","94414128"
